country,gender,strongly disagree,strongly agree,disagree,agree
Benin,all,-12.39530988274707,57.87269681742043,-8.375209380234507,21.35678391959799
Benin,female,-9.015025041736227,63.77295492487479,-7.0116861435726205,20.20033388981636
Benin,male,-15.798319327731091,51.932773109243705,-9.747899159663866,22.521008403361346
Botswana,all,-11.23499142367067,71.09777015437393,-5.660377358490567,12.006861063464838
Botswana,female,-9.106529209621993,75.77319587628865,-4.639175257731959,10.481099656357388
Botswana,male,-13.518197573656845,66.20450606585788,-6.5857885615251295,13.69150779896014
Burkina Faso,all,-12.224108658743633,42.35993208828523,-14.855687606112053,30.560271646859082
Burkina Faso,female,-10.884353741496598,42.3469387755102,-16.3265306122449,30.4421768707483
Burkina Faso,male,-13.559322033898304,42.3728813559322,-13.389830508474576,30.677966101694913
Cabo Verde,all,-4.564666103127641,57.31191885038038,-6.086221470836856,32.03719357565512
Cabo Verde,female,-3.523489932885906,60.738255033557046,-5.369127516778524,30.369127516778523
Cabo Verde,male,-5.621805792163544,53.833049403747864,-6.814310051107325,33.73083475298126
Cameroon,all,-15.965665236051501,48.06866952789699,-13.047210300429185,22.918454935622318
Cameroon,female,-12.131715771230503,54.59272097053726,-11.611785095320624,21.663778162911612
Cameroon,male,-19.727891156462583,41.66666666666667,-14.45578231292517,24.149659863945576
Côte d'Ivoire,all,-11.371527777777777,39.58333333333333,-13.715277777777779,35.32986111111111
Côte d'Ivoire,female,-10.104529616724738,41.98606271777003,-11.67247386759582,36.23693379790941
Côte d'Ivoire,male,-12.629757785467127,37.19723183391003,-15.7439446366782,34.42906574394463
Gabon,all,-6.075949367088607,57.72151898734177,-6.413502109704641,29.78902953586498
Gabon,female,-5.042016806722689,61.51260504201681,-5.378151260504202,28.067226890756302
Gabon,male,-7.118644067796611,53.898305084745765,-7.457627118644068,31.52542372881356
Gambia,all,-17.717206132879046,69.33560477001703,-5.45144804088586,7.495741056218058
Gambia,female,-13.945578231292515,73.63945578231292,-6.122448979591836,6.292517006802721
Gambia,male,-21.501706484641637,65.01706484641639,-4.778156996587031,8.70307167235495
Ghana,all,-17.431192660550458,59.10878112712975,-6.8152031454783755,16.644823066841415
Ghana,female,-10.820244328097731,66.75392670157068,-5.7591623036649215,16.666666666666664
Ghana,male,-24.059492563429572,51.44356955380578,-7.874015748031496,16.62292213473316
Guinea,all,-20.291095890410958,41.60958904109589,-9.16095890410959,28.93835616438356
Guinea,female,-17.123287671232877,41.95205479452055,-9.246575342465754,31.67808219178082
Guinea,male,-23.458904109589042,41.26712328767123,-9.075342465753424,26.1986301369863
Kenya,all,-15.379706445437142,55.58391831525208,-9.763880025526483,19.272495213784303
