binned,continent,counts,x_values
0,Africa,0,0.0
0,America,0,0.0
0,Asia,0,0.0
0,Europe,0,0.0
0,Oceania,0,0.0
0.001-0.1,Africa,0,0.05
0.001-0.1,America,1,0.05
0.001-0.1,Asia,5,0.05
0.001-0.1,Europe,20,0.05
0.001-0.1,Oceania,2,0.05
0.1-0.2,Africa,0,0.15
0.1-0.2,America,2,0.15
0.1-0.2,Asia,5,0.15
0.1-0.2,Europe,14,0.15
0.1-0.2,Oceania,0,0.15
0.2-0.3,Africa,2,0.25
0.2-0.3,America,4,0.25
0.2-0.3,Asia,12,0.25
0.2-0.3,Europe,5,0.25
0.2-0.3,Oceania,0,0.25
0.3-0.4,Africa,3,0.35
0.3-0.4,America,13,0.35
0.3-0.4,Asia,7,0.35
0.3-0.4,Europe,0,0.35
0.3-0.4,Oceania,1,0.35
0.4-0.5,Africa,7,0.45
0.4-0.5,America,10,0.45
0.4-0.5,Asia,12,0.45
0.4-0.5,Europe,0,0.45
0.4-0.5,Oceania,1,0.45
0.5-0.6,Africa,21,0.55
0.5-0.6,America,0,0.55
0.5-0.6,Asia,3,0.55
0.5-0.6,Europe,0,0.55
0.5-0.6,Oceania,0,0.55
0.6-0.7,Africa,15,0.65
0.6-0.7,America,1,0.65
0.6-0.7,Asia,1,0.65
0.6-0.7,Europe,0,0.65
0.6-0.7,Oceania,1,0.65
0.7-0.8,Africa,0,0.75
0.7-0.8,America,0,0.75
0.7-0.8,Asia,0,0.75
0.7-0.8,Europe,0,0.75
0.7-0.8,Oceania,1,0.75
0.8-0.9,Africa,0,0.85
0.8-0.9,America,0,0.85
0.8-0.9,Asia,1,0.85
0.8-0.9,Europe,0,0.85
0.8-0.9,Oceania,0,0.85
0.9-1,Africa,0,0.95
0.9-1,America,0,0.95
0.9-1,Asia,0,0.95
0.9-1,Europe,0,0.95
0.9-1,Oceania,0,0.95
