year,Belize,Brazil,Greece,Portugal,Russia,South Korea,Ukraine,United Kingdom,United States,Venezuela,Latin America and the Caribbean,Sub-Saharan Africa
2000,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2001,-0.19389925505371547,0.7017916663877595,5.618712178135528,12.30627546952967,15.178599616612887,0.3374396587513625,10.652413138266478,-0.9935180038134017,-5.932311421319839,-16.32582483866086,0.4722626702050472,1.776458034676556
2002,11.44149240731108,-5.813418160011687,7.763731882961484,16.205405977974472,7.7455508160181346,-6.514782311335074,22.45489916229101,-4.550159620109548,-8.927563084186884,-7.7008014864503815,1.174050676307324,3.6346492005304487
2003,9.622738405696573,-0.6468296934644246,7.658116514185857,16.88380357501753,20.552250165013987,14.670991935723531,30.308769647215854,-3.313914556762801,-11.41228574738604,-17.61267063796084,3.9462127361491026,7.048633309050277
2004,7.389316213010002,-2.007019277409706,12.29971462096563,18.795825910161902,33.3267651569231,17.81894814343765,39.45375715590323,-0.7955239170017959,-10.737919163684435,-15.508571849947476,3.0368584003760053,9.166709762164334
2005,16.30324436651829,-2.2925610699625603,16.593001244920575,17.215833203647772,40.0441041967456,20.170742656104238,42.662660753525394,-0.6243726242278105,-12.302986746784404,-3.202864498405422,5.991827478194535,11.253597147257537
2006,25.02696859657705,-4.274192567367048,17.291494357988018,19.711626922632895,49.32027777242525,28.041802354533385,36.66195240003149,0.19770583111964682,-11.591752148579621,-3.6949264606738925,7.389753780422567,13.48258631995391
2007,34.43799940074623,-5.2989200539263015,14.837201327148525,14.075072894269585,58.03289503583078,35.033347122737624,41.42554892359104,2.9453393852110863,-11.769927647510135,-5.205342179702588,6.100723915245916,14.162239920139385
2008,46.93017277266162,-3.053383445776261,18.37347279218414,15.315129786170074,64.09084225280375,39.475065510654446,47.43154693161106,4.1380759801795755,-18.16702215375585,-13.916978168047686,7.145283466659462,14.606016702637042
2009,54.46547713649154,0.6819887820018458,17.559586847081803,9.196300310198264,63.20992484878671,42.7341325057816,52.42571972653729,7.956659199383721,-30.288885917128905,-18.544965389283753,10.758077692945875,15.79771996294888
2010,61.935156225479815,6.644745298310187,10.85375300757597,8.526091068814921,67.16909838423165,46.99085823018147,52.84799802085687,13.165272354613045,-19.023656438680444,-21.417911154427554,12.626978985361003,17.25482535139648
2011,61.07898342029884,9.443397471294848,2.16863586263677,12.341057482412554,72.75728458416224,38.20519720951185,58.07121443733796,17.51521664854093,-29.074503048712963,-28.07401085925844,13.724911429691995,20.29325035505569
2012,67.215891354554,16.84620043814312,-12.024871759918652,4.368264531370047,76.56924182157398,41.32476368567304,53.244892553238984,24.299846676565373,-33.78747359069031,-28.3599548200726,17.62607338738123,22.109626635876076
2013,63.31085032725423,11.010044718997007,-16.567569317583846,19.35419226158252,79.2169214223396,55.28212320882393,54.09608957790708,23.84572185261632,-38.820333078690176,-34.684028644201376,16.663818848221812,23.029268586512803
2014,55.224350586900016,8.944133850583562,-24.88780989304801,18.583776240141344,81.12829049944393,58.6404620198881,66.1060862781924,22.941799934879946,-41.93032455948328,-28.839012014332944,17.486772418672373,23.736795704628697
2015,42.66824863389598,9.099784534170812,-39.32921483353683,3.8795800220341805,79.98384288271826,60.08082269665665,69.00812820856547,23.55822756260349,-46.95426597997552,-36.10203729509169,16.31769338751227,25.92433763654348
2016,30.91875451797727,8.312762877822118,-38.92180330066456,2.5547513940868667,83.79613264021289,60.85155801548672,71.22219911059736,22.446336963225402,-55.99784712233682,-62.77405216026347,15.373089155548506,27.092963939176336
2017,16.2014833805257,12.714409500828749,-51.959868551612885,-3.16567062440991,83.27418859857208,60.20243350281913,70.67425498913046,22.395605753569985,-61.88143472217956,-89.1691059008782,15.144777316527438,28.054161658368788
2018,8.66456967968858,13.47497099207991,-48.05003114621699,-1.4460536897800549,83.21088490522321,58.74287575320869,68.53715005373893,16.1057147639707,-64.49381269073297,-94.06369564107649,14.376288262511347,29.134406149437485
2019,-0.14425238060790335,11.206312410863232,-54.88264463336328,-4.718889089246855,85.7473272581818,59.075965309913705,74.15457932251711,15.974640358365663,-67.87863020179292,-91.0283749876707,12.98762935452289,30.440739629313544
2020,-51.112123085411746,-5.478363630803807,-98.8522154153875,-9.015830163772506,73.75774915160147,47.77961427900229,53.84106126225101,10.33677921548506,-78.3015968151839,-180.4784110317017,2.6520528660731366,32.46900303286678
